,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,# unique markers (of 43),# multi-copy,Taxonomy,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,# genomic features,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,status,superkingdom,phylum,class,order,family,genus,species,strain,sample_id
41N_Day7_11_S369,Bacteria,5449,104,58,0,101,3,0,0,0,100.0,5.17,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,7,6,5,4,3,5213729,5213309,5211649,5203093,5192139,5152103,7,4588141,5213309,5062596,50.57,50.60,4588141,4588141,4588141,4588141,1,1,1,1,2,2,416445,4,0,0,0,0 + 0 part,0,99.623,1.034,0.00,1.21,0.06,0 + 0 part,4587765,5212933,4587765,4587765,4587765,4587765,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_11_S369.fasta
41N_Day7_12_S377,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,4,3,3,2,2,1,5040139,5039192,5039192,5030636,5030636,4997539,4,4997539,5040139,5062596,50.61,50.60,4997539,4997539,4997539,4997539,1,1,1,1,2,1,4997539,8,0,0,0,0 + 0 part,0,99.545,1.000,0.00,1.29,0.04,0 + 0 part,3331222,5038998,3331222,3331222,1619397,1619397,1,1,2,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_12_S377.fasta
41N_Day7_13_S29,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,72,36,25,20,18,12,5019506,5010172,4979653,4944317,4917147,4708846,39,1185431,5012183,5062596,50.57,50.60,747198,747198,358910,358910,3,3,6,6,0,0,0,0,0,0,0,0 + 0 part,0,99.004,1.000,0.00,0.02,0.00,0 + 0 part,1185431,5012183,747198,747198,358910,358910,3,3,6,6,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_13_S29.fasta
41N_Day7_14_S298,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5061863,5061022,5048890,5040334,5040334,5011504,7,5011504,5061022,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.963,1.000,0.00,0.38,0.00,0 + 0 part,5011208,5060726,5011208,5011208,5011208,5011208,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_14_S298.fasta
41N_Day7_15_S306,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062181,5061761,5060101,5051545,5051545,5011509,4,5011509,5061761,5062596,50.60,50.60,5011509,5011509,5011509,5011509,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,0.16,0.06,0 + 0 part,5011509,5061761,5011509,5011509,5011509,5011509,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_15_S306.fasta
41N_Day7_16_S314,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5058494,5058074,5056414,5047858,5047858,5007822,4,5007822,5058074,5062596,50.59,50.60,5007822,5007822,5007822,5007822,1,1,1,1,1,1,5007822,5,0,0,0,0 + 0 part,0,99.9,1.000,0.00,0.45,0.02,0 + 0 part,4098609,5057319,4098609,4098609,4098609,4098609,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_16_S314.fasta
41N_Day7_17_S322,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,7,7,7,5,5,4,5287156,5287156,5287156,5268764,5268764,5235667,7,4962423,5287156,5062596,50.61,50.60,4962423,4962423,4962423,4962423,1,1,1,1,1,1,56903,6,0,0,0,0 + 0 part,0,99.751,1.047,0.00,1.31,0.14,0 + 0 part,4961859,5286489,4961859,4961859,4961859,4961859,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_17_S322.fasta
41N_Day7_18_S,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,8,6,5,4,3,5198233,5198233,5189799,5181243,5171043,5137946,8,4819095,5198233,5062596,50.57,50.60,4819095,4819095,4819095,4819095,1,1,1,1,2,2,142742,6,0,0,0,0 + 0 part,0,99.773,1.029,0.00,2.45,0.16,0 + 0 part,4817758,5196674,4817758,4817758,4817758,4817758,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_18_S.fasta
41N_Day7_19_S338,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,14,14,7,5,4,2,5131062,5131062,5113732,5099451,5088489,5003521,14,4936537,5131062,5062596,50.54,50.60,4936537,4936537,4936537,4936537,1,1,1,1,3,3,4987499,9,0,0,0,0 + 0 part,0,99.864,1.015,0.00,5.06,0.99,0 + 0 part,2988593,5130104,2988593,2988593,1947106,1947106,1,1,2,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_19_S338.fasta
41N_Day7_1_S289,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,10,9,7,4,2,5142386,5141966,5140306,5123320,5066107,4992495,10,4587626,5141966,5062596,50.58,50.60,4587626,4587626,4587626,4587626,1,1,1,1,2,2,415122,5,0,0,0,0 + 0 part,0,99.6,1.020,0.00,1.82,0.32,0 + 0 part,4586982,5141265,4586982,4586982,4586982,4586982,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_1_S289.fasta
41N_Day7_20_S346,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062163,5061743,5060083,5051527,5051527,5011491,4,5011491,5061743,5062596,50.60,50.60,5011491,5011491,5011491,5011491,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.978,1.000,0.00,0.30,0.18,0 + 0 part,5011195,5061447,5011195,5011195,5011195,5011195,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_20_S346.fasta
41N_Day7_21_S354,Bacteria,5449,104,58,0,92,12,0,0,0,100.0,15.52,100.0,38,5,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,10,9,5,5,2,5330387,5329967,5328307,5295629,5295629,5175050,10,5010737,5329967,5062596,50.59,50.60,5010737,5010737,5010737,5010737,1,1,1,1,3,3,221866,5,0,0,0,0 + 0 part,0,99.961,1.053,0.00,3.18,0.28,0 + 0 part,5010361,5329591,5010361,5010361,5010361,5010361,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_21_S354.fasta
41N_Day7_22_S362,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,5,5,4,3,2,5135445,5135445,5135445,5126889,5116660,5074124,5,5014371,5135445,5062596,50.58,50.60,5014371,5014371,5014371,5014371,1,1,1,1,3,3,5084353,5,0,0,0,0 + 0 part,0,99.974,1.015,0.00,1.01,0.00,0 + 0 part,5010066,5134317,5010066,5010066,5010066,5010066,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_22_S362.fasta
41N_Day7_23_S37,Bacteria,5449,104,58,0,98,6,0,0,0,100.0,8.62,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,9,9,9,8,7,6,5406345,5406345,5406345,5397789,5383011,5343280,9,3197191,5406345,5062596,50.62,50.60,3197191,3197191,1503354,1503354,1,1,2,2,2,2,302637,7,0,0,0,0 + 0 part,0,99.769,1.070,0.00,1.78,0.24,0 + 0 part,3195882,5404987,3195882,3195882,1503354,1503354,1,1,2,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_23_S37.fasta
41N_Day7_24_S378,Bacteria,5449,104,58,0,101,3,0,0,0,100.0,5.17,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,6,6,6,4,4,2,5136154,5136154,5136154,5118917,5118917,5032544,6,4963189,5136154,5062596,50.61,50.60,4963189,4963189,4963189,4963189,1,1,1,1,2,2,55323,6,0,0,0,0 + 0 part,0,99.88,1.016,0.00,2.08,0.14,0 + 0 part,4962517,5135430,4962517,4962517,4962517,4962517,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_24_S378.fasta
41N_Day7_2_S297,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5061933,5061092,5048889,5040333,5040333,5011503,7,5011503,5061092,5062596,50.60,50.60,5011503,5011503,5011503,5011503,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.97,1.000,0.00,0.95,0.02,0 + 0 part,5011503,5061092,5011503,5011503,5011503,5011503,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_2_S297.fasta
41N_Day7_3_S305,Bacteria,5449,104,58,0,101,3,0,0,0,100.0,5.17,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,30,30,23,15,8,2,5475700,5475700,5454748,5390008,5279163,5094901,30,5010820,5475700,5062596,50.53,50.60,5010820,5010820,5010820,5010820,1,1,1,1,7,6,149503,5,0,0,0,0 + 0 part,0,99.924,1.082,0.00,3.22,0.28,0 + 0 part,5010444,5474674,5010444,5010444,5010444,5010444,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_3_S305.fasta
41N_Day7_4_S31,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,4,4,4,2,2,1,5069234,5069234,5069234,5054070,5054070,5011534,4,5011534,5069234,5062596,50.58,50.60,5011534,5011534,5011534,5011534,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.993,1.001,0.00,0.47,0.04,0 + 0 part,5011151,5068851,5011151,5011151,5011151,5011151,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_4_S31.fasta
41N_Day7_5_S321,Bacteria,5449,104,58,0,92,12,0,0,0,100.0,15.52,100.0,38,5,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,10,10,9,8,7,6,5472997,5472997,5469538,5460982,5445117,5405386,10,4882016,5472997,5062596,50.62,50.60,4882016,4882016,4882016,4882016,1,1,1,1,4,3,245116,7,0,0,0,0 + 0 part,0,99.907,1.082,0.00,5.40,0.57,0 + 0 part,4880383,5471205,4880383,4880383,4880383,4880383,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_5_S321.fasta
41N_Day7_6_S329,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,1.72,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,61,61,37,22,5,2,5563995,5563995,5512543,5406175,5139789,5022454,61,4965661,5563995,5062596,50.66,50.60,4965661,4965661,4965661,4965661,1,1,1,1,7,7,179241,8,0,0,0,0 + 0 part,0,99.762,1.102,0.00,7.15,1.70,0 + 0 part,4964968,5561950,4964968,4964968,4964968,4964968,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_6_S329.fasta
41N_Day7_7_S337,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,8,7,5,3,1,5134716,5134716,5129843,5113043,5085498,5010970,8,5010970,5134716,5062596,50.60,50.60,5010970,5010970,5010970,5010970,1,1,1,1,1,1,17519,4,0,0,0,0 + 0 part,0,99.982,1.014,0.00,1.78,0.12,0 + 0 part,5010599,5134255,5010599,5010599,5010599,5010599,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_7_S337.fasta
41N_Day7_8_S345,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,21,21,17,11,8,3,5367455,5367455,5357437,5313919,5249235,5082258,21,4956574,5367455,5062596,50.61,50.60,4956574,4956574,4956574,4956574,1,1,1,1,3,3,68529,3,0,0,0,0 + 0 part,0,99.928,1.061,0.00,2.47,0.40,0 + 0 part,4956306,5366618,4956306,4956306,4956306,4956306,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_8_S345.fasta
41N_Day7_9_S35,Bacteria,5449,104,58,0,93,11,0,0,0,100.0,18.97,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,45,45,30,19,8,3,5598997,5598997,5567806,5488571,5315193,5131708,45,5010402,5598997,5062596,50.66,50.60,5010402,5010402,5010402,5010402,1,1,1,1,5,5,62076,7,0,0,0,0 + 0 part,0,99.791,1.108,0.00,5.29,1.17,0 + 0 part,5009961,5597230,5009961,5009961,5009961,5009961,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Day7_9_S35.fasta
41N_Month1_10_S1881,Bacteria,5449,104,58,0,95,9,0,0,0,100.0,10.46,100.0,41,2,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,180,179,51,19,4,3,5764970,5764838,5460239,5236126,5033037,4992639,179,2509180,5764838,5062596,50.70,50.60,1881410,1881410,1881410,1881410,2,2,2,2,73,69,2340979,9,0,0,0,0 + 0 part,0,99.696,1.142,0.00,18.84,7.19,0 + 0 part,2508591,5760112,1048626,1048626,829275,829275,2,2,3,3,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_10_S1881.fasta
41N_Month1_11_S1889,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,1.72,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,19,19,14,13,8,5,5267998,5267998,5252116,5243560,5178365,5053166,19,2854168,5267998,5062596,50.62,50.60,2854168,2854168,1972452,1972452,1,1,2,2,6,5,213380,6,0,0,0,0 + 0 part,0,99.822,1.042,0.00,6.00,1.46,0 + 0 part,2853880,5266751,2853880,2853880,1971882,1971882,1,1,2,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_11_S1889.fasta
41N_Month1_12_S1897,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,7,6,5,3,2,1,5089013,5088684,5084417,5069058,5050090,5010359,6,5010359,5088684,5062596,50.56,50.60,5010359,5010359,5010359,5010359,1,1,1,1,1,1,18968,8,0,0,0,0 + 0 part,0,99.913,1.006,0.00,1.92,0.12,0 + 0 part,5009054,5087378,5009054,5009054,5009054,5009054,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_12_S1897.fasta
41N_Month1_13_S181,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,3,2,2,1,5062596,5062596,5062596,5054040,5054040,5011504,3,5011504,5062596,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,100.0,1.000,0.00,1.36,0.04,0 + 0 part,5011504,5062596,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_13_S181.fasta
41N_Month1_14_S1818,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,70,34,26,20,18,12,5020341,5010497,4990521,4948677,4921457,4708803,37,1185431,5012508,5062596,50.57,50.60,747198,747198,358910,358910,3,3,6,6,0,0,0,0,0,0,0,0 + 0 part,0,99.011,1.000,0.00,0.10,0.00,0 + 0 part,1185431,5012508,747198,747198,358910,358910,3,3,6,6,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_14_S1818.fasta
41N_Month1_15_S1826,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,7,3,2,2,1,5062375,5061534,5049331,5040775,5040775,5011945,7,5011945,5061534,5062596,50.60,50.60,5011945,5011945,5011945,5011945,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.97,1.000,0.00,1.82,0.00,0 + 0 part,5011945,5061534,5011945,5011945,5011945,5011945,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_15_S1826.fasta
41N_Month1_16_S1834,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,4,3,2,2,1,5062176,5061756,5060096,5051540,5051540,5011504,4,5011504,5061756,5062596,50.60,50.60,5011504,5011504,5011504,5011504,1,1,1,1,0,0,0,0,0,0,0,0 + 0 part,0,99.983,1.000,0.00,1.17,0.00,0 + 0 part,5011504,5061756,5011504,5011504,5011504,5011504,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_16_S1834.fasta
41N_Month1_17_S1842,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,65,33,26,21,17,12,5020394,5010383,4991500,4956101,4887552,4709370,37,1185431,5013203,5062596,50.57,50.60,396226,396226,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.024,1.000,0.00,0.06,0.00,0 + 0 part,1185431,5013203,396226,396226,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_17_S1842.fasta
41N_Month1_18_S185,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,62,33,26,21,17,12,5020489,5010722,4991839,4956440,4887841,4709659,39,1185431,5015083,5062596,50.57,50.60,396565,396565,347638,347638,4,4,7,7,0,0,0,0,0,0,0,0 + 0 part,0,99.061,1.000,0.00,0.20,0.00,0 + 0 part,1185431,5015067,396565,396565,347638,347638,4,4,7,7,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_18_S185.fasta
41N_Month1_19_S1858,Bacteria,5449,104,58,0,99,5,0,0,0,100.0,6.9,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,26,26,19,12,8,5,5508825,5508825,5490499,5440798,5383366,5270363,26,4846639,5508825,5062596,50.51,50.60,4846639,4846639,4846639,4846639,1,1,1,1,8,7,357521,8,0,0,0,0 + 0 part,0,99.901,1.089,0.00,5.42,1.32,0 + 0 part,4843008,5504714,4843008,4843008,4843008,4843008,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_19_S1858.fasta
41N_Month1_1_S1809,Bacteria,5449,104,58,0,86,18,0,0,0,100.0,12.07,100.0,29,14,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,15,14,11,8,5,3,5411666,5411246,5404895,5385119,5340670,5251235,14,5001627,5411246,5062596,50.62,50.60,5001627,5001627,5001627,5001627,1,1,1,1,4,3,128093,5,0,0,0,0 + 0 part,0,99.783,1.071,0.00,3.07,0.55,0 + 0 part,5000983,5410455,5000983,5000983,5000983,5000983,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_1_S1809.fasta
41N_Month1_20_S1866,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,59,31,24,19,17,11,5019651,5010591,4991708,4956351,4928847,4709340,37,1185431,5014653,5062596,50.57,50.60,747198,747198,358910,358910,3,3,6,6,0,0,0,1,0,0,0,0 + 0 part,0,99.047,1.000,0.00,0.32,0.00,0 + 0 part,1185431,5014357,746902,746902,358910,358910,3,3,6,6,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_20_S1866.fasta
41N_Month1_21_S1874,Bacteria,5449,104,58,0,97,7,0,0,0,100.0,10.34,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,28,27,21,15,7,3,5469217,5468797,5451292,5406988,5278760,5133476,27,4979817,5468797,5062596,50.62,50.60,4979817,4979817,4979817,4979817,1,1,1,1,6,6,116185,6,0,0,0,0 + 0 part,0,99.952,1.081,0.00,4.68,1.07,0 + 0 part,4979341,5467963,4979341,4979341,4979341,4979341,1,1,1,1,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_21_S1874.fasta
41N_Month1_22_S1882,Bacteria,5449,104,58,0,83,21,0,0,0,100.0,12.93,100.0,27,16,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,158,158,35,14,3,2,5619167,5619167,5329459,5187350,5035888,5008189,158,3179757,5619167,5062596,50.65,50.60,3179757,3179757,1828432,1828432,1,1,2,2,68,63,5317435,12,0,0,0,0 + 0 part,0,99.811,1.112,0.00,21.06,6.17,0 + 0 part,3178170,5615717,3178170,3178170,1365929,1365929,1,1,2,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_22_S1882.fasta
41N_Month1_23_S189,Bacteria,5449,104,58,0,93,11,0,0,0,100.0,15.52,100.0,38,5,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,107,105,41,19,6,2,5668802,5667710,5518418,5366817,5168387,5044907,106,4983497,5668374,5062596,50.63,50.60,4983497,4983497,4983497,4983497,1,1,1,1,23,22,5301930,5,0,0,0,0 + 0 part,0,99.855,1.121,0.00,14.60,4.29,0 + 0 part,2646840,5660880,2331756,2646840,2331756,2331756,2,1,2,2,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,41N_Month1_23_S189.fasta
