,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,# unique markers (of 43),# multi-copy,Taxonomy,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,# genomic features,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,ID,status,superkingdom,phylum,class,order,family,genus
24B_Day7_22_S1339,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,0.16,0.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,195,73,48,38,26,20,4985511,4948802,4889813,4823134,4620637,4411454,95,628151,4963181,5064668,50.53,50.57,253347,234479,112854,107353,6,7,13,14,0,0,0,2,0,0,0,0 + 0 part,0,97.987,1.000,0.00,1.03,0.00,4577 + 63 part,628151,4963180,253347,234479,112854,107353,6,7,13,14,AZ20_assemblies/24B_Day7_22_S1339.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24B_Day7_23_S134,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065181,5065181,5062008,5056494,5056494,5056494,3,5056494,5065181,5064668,50.57,50.57,5056494,5056494,5056494,5056494,1,1,1,1,2,1,5056494,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,13.67,0.79,4731 + 1 part,4694564,5064110,4694564,4694564,4694564,4694564,1,1,1,1,AZ20_assemblies/24B_Day7_23_S134.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24B_Day7_24_S134,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065172,5065172,5061999,5056485,5056485,5056485,3,5056485,5065172,5064668,50.57,50.57,5056485,5056485,5056485,5056485,1,1,1,1,2,1,5056485,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,4.86,0.22,4730 + 2 part,4694377,5063924,4694377,4694377,4694377,4694377,1,1,1,1,AZ20_assemblies/24B_Day7_24_S134.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24B_Day7_2_S794,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065160,5065160,5061987,5056473,5056473,5056473,3,5056473,5065160,5064668,50.57,50.57,5056473,5056473,5056473,5056473,1,1,1,1,2,1,5056473,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.04,0.26,4731 + 1 part,4694543,5064089,4694543,4694543,4694543,4694543,1,1,1,1,AZ20_assemblies/24B_Day7_2_S794.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24B_Day7_3_S795,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065159,5065159,5061986,5056472,5056472,5056472,3,5056472,5065159,5064668,50.57,50.57,5056472,5056472,5056472,5056472,1,1,1,1,2,1,5056472,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,5.55,0.26,4730 + 2 part,4694540,5064088,4694540,4694540,4694540,4694540,1,1,1,1,AZ20_assemblies/24B_Day7_3_S795.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24B_Day7_4_S796,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,0.16,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,5,5,4,3,3,3,5060174,5060174,5057001,5051487,5051487,5051487,5,4388776,5060174,5064668,50.57,50.57,4388776,4388776,4388776,4388776,1,1,1,1,2,1,4388776,1,0,0,0,0 + 0 part,0,99.819,1.001,0.00,11.93,0.61,4726 + 2 part,3638219,5059065,3638219,3638219,746211,746211,1,1,2,2,AZ20_assemblies/24B_Day7_4_S796.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24B_Day7_5_S797,Bacteria,5449,104,58,0,99,5,0,0,0,100.0,6.03,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,8,8,7,5,4,2,5244392,5244392,5241219,5229218,5214350,5133607,8,5055802,5244392,5064668,50.57,50.57,5055802,5055802,5055802,5055802,1,1,1,1,4,3,5148475,8,0,0,0,0 + 0 part,0,99.939,1.036,0.00,9.64,0.32,4727 + 4 part,3691427,5242091,3691427,3691427,1360440,1360440,1,1,2,2,AZ20_assemblies/24B_Day7_5_S797.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24B_Day7_6_S798,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065162,5065162,5061989,5056475,5056475,5056475,3,5056475,5065162,5064668,50.57,50.57,5056475,5056475,5056475,5056475,1,1,1,1,2,1,5056475,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.12,0.22,4732 + 0 part,4694545,5064091,4694545,4694545,4694545,4694545,1,1,1,1,AZ20_assemblies/24B_Day7_6_S798.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24B_Day7_7_S799,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065162,5065162,5061989,5056475,5056475,5056475,3,5056475,5065162,5064668,50.57,50.57,5056475,5056475,5056475,5056475,1,1,1,1,2,1,5056475,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,2.85,0.30,4730 + 2 part,4694545,5064091,4694545,4694545,4694545,4694545,1,1,1,1,AZ20_assemblies/24B_Day7_7_S799.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24B_Day7_8_S8,Bacteria,5449,104,58,75,29,0,0,0,0,32.84,0.0,0.0,12,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,356,322,63,13,0,0,1196587,1168271,518769,184358,0,0,353,22648,1195251,5064668,50.87,50.57,4544,-,2649,-,80,-,165,-,2,2,15051,0,0,0,0,6 + 0 part,10418,23.36,1.001,0.00,93.23,2.70,825 + 510 part,22411,1183542,4522,-,2637,-,81,-,167,-,AZ20_assemblies/24B_Day7_8_S8.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24B_Day7_9_S8,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,1.72,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,9,9,8,4,3,3,5183715,5183715,5180542,5148976,5132643,5132643,9,4033610,5183715,5064668,50.58,50.57,4033610,4033610,4033610,4033610,1,1,1,1,3,3,1044910,7,0,0,0,0 + 1 part,1451,99.896,1.024,0.00,5.61,0.43,4724 + 7 part,4032044,5181857,4032044,4032044,4032044,4032044,1,1,1,1,AZ20_assemblies/24B_Day7_9_S8.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_10_S79,Bacteria,5449,104,58,0,101,3,0,0,0,100.0,3.45,100.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,7,7,5,4,4,4,5195296,5195296,5187317,5181803,5181803,5181803,7,4274791,5195296,5064668,50.57,50.57,4274791,4274791,4274791,4274791,1,1,1,1,4,3,4710432,7,0,0,0,0 + 0 part,0,99.767,1.028,0.00,10.51,0.49,4718 + 7 part,4060099,5191826,4060099,4060099,4060099,4060099,1,1,1,1,AZ20_assemblies/24L_Day7_10_S79.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_11_S79,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,11,11,8,7,5,3,5316533,5316533,5304241,5298727,5266110,5183986,11,5054652,5316533,5064668,50.56,50.57,5054652,5054652,5054652,5054652,1,1,1,1,2,2,129334,9,0,0,0,0 + 0 part,0,99.966,1.050,0.00,6.83,0.71,4730 + 3 part,5053989,5315787,5053989,5053989,5053989,5053989,1,1,1,1,AZ20_assemblies/24L_Day7_11_S79.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_12_S792,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065166,5065166,5061993,5056479,5056479,5056479,3,5056479,5065166,5064668,50.57,50.57,5056479,5056479,5056479,5056479,1,1,1,1,2,1,5056479,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,4.51,0.34,4731 + 1 part,4694549,5064095,4694549,4694549,4694549,4694549,1,1,1,1,AZ20_assemblies/24L_Day7_12_S792.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_13_S1318,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,156,66,43,34,25,18,4990306,4957882,4904760,4838349,4703642,4465140,90,611060,4974080,5064668,50.54,50.57,323486,285293,156552,156552,5,6,11,11,0,0,0,1,0,0,0,0 + 0 part,0,98.206,1.000,0.00,1.53,0.06,4595 + 58 part,611060,4974064,323486,285293,156552,156552,5,6,11,11,AZ20_assemblies/24L_Day7_13_S1318.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_14_S1319,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065147,5065147,5061974,5056460,5056460,5056460,3,5056460,5065147,5064668,50.57,50.57,5056460,5056460,5056460,5056460,1,1,1,1,2,1,5056460,1,0,0,0,0 + 0 part,0,99.92,1.001,0.00,3.44,0.20,4729 + 3 part,4694364,5063911,4694364,4694364,4694364,4694364,1,1,1,1,AZ20_assemblies/24L_Day7_14_S1319.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_15_S132,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065176,5065176,5062003,5056489,5056489,5056489,3,5056489,5065176,5064668,50.57,50.57,5056489,5056489,5056489,5056489,1,1,1,1,2,1,5056489,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,2.71,0.34,4730 + 2 part,4694381,5063928,4694381,4694381,4694381,4694381,1,1,1,1,AZ20_assemblies/24L_Day7_15_S132.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_16_S132,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065158,5065158,5061985,5056471,5056471,5056471,3,5056471,5065158,5064668,50.57,50.57,5056471,5056471,5056471,5056471,1,1,1,1,2,1,5056471,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,4.70,0.18,4731 + 1 part,4694539,5064072,4694539,4694539,4694539,4694539,1,1,1,1,AZ20_assemblies/24L_Day7_16_S132.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_17_S1322,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065179,5065179,5062006,5056492,5056492,5056492,3,5056492,5065179,5064668,50.57,50.57,5056492,5056492,5056492,5056492,1,1,1,1,2,1,5056492,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,2.47,0.12,4730 + 2 part,4694384,5063931,4694384,4694384,4694384,4694384,1,1,1,1,AZ20_assemblies/24L_Day7_17_S1322.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_18_S132,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065178,5065178,5062005,5056491,5056491,5056491,3,5056491,5065178,5064668,50.57,50.57,5056491,5056491,5056491,5056491,1,1,1,1,2,1,5056491,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,2.37,0.06,4730 + 2 part,4694383,5063930,4694383,4694383,4694383,4694383,1,1,1,1,AZ20_assemblies/24L_Day7_18_S132.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_19_S1324,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065157,5065157,5061984,5056470,5056470,5056470,3,5056470,5065157,5064668,50.57,50.57,5056470,5056470,5056470,5056470,1,1,1,1,2,1,5056470,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,5.24,0.24,4731 + 1 part,4694539,5064086,4694539,4694539,4694539,4694539,1,1,1,1,AZ20_assemblies/24L_Day7_19_S1324.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_1_S78,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065168,5065168,5061995,5056481,5056481,5056481,3,5056481,5065168,5064668,50.57,50.57,5056481,5056481,5056481,5056481,1,1,1,1,2,1,5056481,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.22,0.30,4730 + 2 part,4694551,5064097,4694551,4694551,4694551,4694551,1,1,1,1,AZ20_assemblies/24L_Day7_1_S78.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_20_S1325,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065321,5065321,5062148,5056634,5056634,5056634,3,5056634,5065321,5064668,50.57,50.57,5056634,5056634,5056634,5056634,1,1,1,1,2,1,5056634,2,0,0,0,0 + 0 part,0,99.921,1.001,0.00,4.33,0.18,4729 + 3 part,4694390,5063937,4694390,4694390,4694390,4694390,1,1,1,1,AZ20_assemblies/24L_Day7_20_S1325.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_21_S1326,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065326,5065326,5062153,5056639,5056639,5056639,3,5056639,5065326,5064668,50.57,50.57,5056639,5056639,5056639,5056639,1,1,1,1,2,1,5056639,2,0,0,0,0 + 0 part,0,99.921,1.001,0.00,4.47,0.12,4729 + 3 part,4694395,5063942,4694395,4694395,4694395,4694395,1,1,1,1,AZ20_assemblies/24L_Day7_21_S1326.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_22_S1327,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065180,5065180,5062007,5056493,5056493,5056493,3,5056493,5065180,5064668,50.57,50.57,5056493,5056493,5056493,5056493,1,1,1,1,2,1,5056493,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,2.92,0.10,4730 + 2 part,4694385,5063932,4694385,4694385,4694385,4694385,1,1,1,1,AZ20_assemblies/24L_Day7_22_S1327.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_23_S1328,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065158,5065158,5061985,5056471,5056471,5056471,3,5056471,5065158,5064668,50.57,50.57,5056471,5056471,5056471,5056471,1,1,1,1,2,1,5056471,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.12,0.38,4732 + 0 part,4694541,5064087,4694541,4694541,4694541,4694541,1,1,1,1,AZ20_assemblies/24L_Day7_23_S1328.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_24_S1329,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065162,5065162,5061989,5056475,5056475,5056475,3,5056475,5065162,5064668,50.57,50.57,5056475,5056475,5056475,5056475,1,1,1,1,2,1,5056475,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,5.34,0.24,4731 + 1 part,4694543,5064091,4694543,4694543,4694543,4694543,1,1,1,1,AZ20_assemblies/24L_Day7_24_S1329.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_2_S782,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065162,5065162,5061989,5056475,5056475,5056475,3,5056475,5065162,5064668,50.57,50.57,5056475,5056475,5056475,5056475,1,1,1,1,2,1,5056475,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.64,0.30,4731 + 1 part,4694545,5064091,4694545,4694545,4694545,4694545,1,1,1,1,AZ20_assemblies/24L_Day7_2_S782.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_3_S78,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065168,5065168,5061995,5056481,5056481,5056481,3,5056481,5065168,5064668,50.57,50.57,5056481,5056481,5056481,5056481,1,1,1,1,2,1,5056481,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.34,0.22,4730 + 2 part,4694551,5064097,4694551,4694551,4694551,4694551,1,1,1,1,AZ20_assemblies/24L_Day7_3_S78.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_4_S784,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065160,5065160,5061987,5056473,5056473,5056473,3,5056473,5065160,5064668,50.57,50.57,5056473,5056473,5056473,5056473,1,1,1,1,2,1,5056473,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.79,0.30,4731 + 1 part,4694543,5064089,4694543,4694543,4694543,4694543,1,1,1,1,AZ20_assemblies/24L_Day7_4_S784.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_5_S785,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065162,5065162,5061989,5056475,5056475,5056475,3,5056475,5065162,5064668,50.57,50.57,5056475,5056475,5056475,5056475,1,1,1,1,2,1,5056475,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.60,0.30,4730 + 2 part,4694545,5064091,4694545,4694545,4694545,4694545,1,1,1,1,AZ20_assemblies/24L_Day7_5_S785.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_6_S786,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065162,5065162,5061989,5056475,5056475,5056475,3,5056475,5065162,5064668,50.57,50.57,5056475,5056475,5056475,5056475,1,1,1,1,2,1,5056475,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.22,0.30,4731 + 1 part,4694545,5064091,4694545,4694545,4694545,4694545,1,1,1,1,AZ20_assemblies/24L_Day7_6_S786.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_7_S787,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065179,5065179,5062006,5056492,5056492,5056492,3,5056492,5065179,5064668,50.57,50.57,5056492,5056492,5056492,5056492,1,1,1,1,2,1,5056492,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,3.12,0.20,4728 + 4 part,4694384,5063931,4694384,4694384,4694384,4694384,1,1,1,1,AZ20_assemblies/24L_Day7_7_S787.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_8_S788,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065162,5065162,5061989,5056475,5056475,5056475,3,5056475,5065162,5064668,50.57,50.57,5056475,5056475,5056475,5056475,1,1,1,1,2,1,5056475,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.64,0.30,4730 + 2 part,4694545,5064091,4694545,4694545,4694545,4694545,1,1,1,1,AZ20_assemblies/24L_Day7_8_S788.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24L_Day7_9_S789,Bacteria,5449,104,58,0,102,2,0,0,0,100.0,3.45,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,4,4,3,2,2,2,5188460,5188460,5185287,5179773,5179773,5179773,4,5055882,5188460,5064668,50.60,50.57,5055882,5055882,5055882,5055882,1,1,1,1,2,1,5055882,1,0,0,0,0 + 0 part,0,99.912,1.025,0.00,10.65,0.69,4730 + 2 part,4693950,5187388,4693950,4693950,4693950,4693950,1,1,1,1,AZ20_assemblies/24L_Day7_9_S789.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24N_Day7_10_S778,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065156,5065156,5061983,5056469,5056469,5056469,3,5056469,5065156,5064668,50.57,50.57,5056469,5056469,5056469,5056469,1,1,1,1,2,1,5056469,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,3.50,0.26,4732 + 0 part,4694539,5064085,4694539,4694539,4694539,4694539,1,1,1,1,AZ20_assemblies/24N_Day7_10_S778.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24N_Day7_11_S779,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065162,5065162,5061989,5056475,5056475,5056475,3,5056475,5065162,5064668,50.57,50.57,5056475,5056475,5056475,5056475,1,1,1,1,2,1,5056475,0,0,0,0,0 + 0 part,0,99.924,1.001,0.00,2.81,0.38,4731 + 1 part,4694545,5064091,4694545,4694545,4694545,4694545,1,1,1,1,AZ20_assemblies/24N_Day7_11_S779.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
24N_Day7_12_S78,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065158,5065158,5061985,5056471,5056471,5056471,3,5056471,5065158,5064668,50.57,50.57,5056471,5056471,5056471,5056471,1,1,1,1,2,1,5056471,0,0,0,0,0 + 0 part,0,99.923,1.001,0.00,3.24,0.18,4732 + 0 part,4694541,5064058,4694541,4694541,4694541,4694541,1,1,1,1,AZ20_assemblies/24N_Day7_12_S78.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
