	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags
1__1_partial_1-cat_1_12	final-viral-combined-for-dramv	1__1_partial_1-cat_1	12	11158	11517	-1	C	K06903	uncharacterized protein	YP_001718732.1	YP_001718732.1 P2 gpW-like baseplate protein [Salmonella virus Fels2]	False	0.816	200.0	2.662e-59								Baseplate wedge protein gp25 [PF04965.17]						0	0	1	False	
1__1_partial_1-cat_1_13	final-viral-combined-for-dramv	1__1_partial_1-cat_1	13	11514	12092	-1	D			YP_001718733.1	YP_001718733.1 P2 gpV-like protein [Salmonella virus Fels2]	False	0.872	350.0	9.288e-110								Type VI secretion system/phage-baseplate injector OB domain [PF04717.15]			VOG00425	sp|P31340|SPIKE_BPP2 Spike protein; XhXpXs	Xs;Xp;Xh	0	0	1	False	V
1__1_partial_1-cat_1_14	final-viral-combined-for-dramv	1__1_partial_1-cat_1	14	12185	12937	1	E																						0	2	1	False	
1__1_partial_1-cat_1_15	final-viral-combined-for-dramv	1__1_partial_1-cat_1	15	12973	13425	-1	D			YP_001718734.1	YP_001718734.1 P2 gpS-like tail completion protein [Salmonella virus Fels2]	False	0.797	234.0	1.8400000000000002e-70								Phage virion morphogenesis family [PF05069.16]			VOG00814	sp|P36934|VPS_BPP2 Tail completion protein S; Xu	Xu	0	0	1	False	
1__1_partial_1-cat_1_16	final-viral-combined-for-dramv	1__1_partial_1-cat_1	16	13418	13849	-1	D			YP_001718735.1	YP_001718735.1 P2 gpR-like tail completion protein [Salmonella virus Fels2]	False	0.904	272.0	9.095000000000001e-84								P2 phage tail completion protein R (GpR) [PF06891.14]			VOG16734	sp|P36933|VPR_BPP2 Tail completion protein R; Xu	Xu	0	0	1	False	
1__1_partial_1-cat_1_17	final-viral-combined-for-dramv	1__1_partial_1-cat_1	17	13945	14373	-1	E			YP_001718737.1	YP_001718737.1 P2 LysB-like protein [Salmonella virus Fels2]	False	0.706	202.0	1.618e-59														0	1	1	False	
1__1_partial_1-cat_1_18	final-viral-combined-for-dramv	1__1_partial_1-cat_1	18	14370	14747	-1	E																			VOG02061	sp|P51769|ANTIH_BPP2 Putative antiholin; XhXp	Xp;Xh	0	2	1	False	
1__1_partial_1-cat_1_19	final-viral-combined-for-dramv	1__1_partial_1-cat_1	19	14749	15261	-1	C	K01185	lysozyme [EC:3.2.1.17]	YP_001718740.1	YP_001718740.1 endolysin [Salmonella virus Fels2]	False	0.93	306.0	5.332e-95								Phage lysozyme [PF00959.22]	GH24	GH24 lysozyme (EC 3.2.1.17)	VOG28441	REFSEQ lysozyme; Xu	Xu	0	1	1	False	A
1__1_partial_1-cat_1_20	final-viral-combined-for-dramv	1__1_partial_1-cat_1	20	15242	15457	-1	D			YP_001718741.1	YP_001718741.1 lysis protein [Salmonella virus Fels2]	False	0.83	124.0	8.463e-34								Bacteriophage holin family HP1 [PF16080.8]			VOG00217	sp|Q6XQ99|HOLIN_BPT1 Holin; XhXp	Xp;Xh	0	2	1	False	
1__1_partial_1-cat_1_21	final-viral-combined-for-dramv	1__1_partial_1-cat_1	21	15461	15664	-1	D			YP_001718742.1	YP_001718742.1 P2 gpX-like tail protein [Salmonella virus Fels2]	False	0.964	138.0	7.717e-39								Phage Tail Protein X [PF05489.15]						0	0	1	False	
1__1_partial_1-cat_1_22	final-viral-combined-for-dramv	1__1_partial_1-cat_1	22	15664	16128	-1	D			YP_001718743.1	YP_001718743.1 P2 gpL-like protein [Salmonella virus Fels2]	False	0.9	291.0	2.943e-90								Phage head completion protein (GPL) [PF05926.14]			VOG19495	sp|P25475|VPL_BPP2 Head completion/stabilization protein; Xu	Xu	0	0	1	False	
1__1_partial_1-cat_1_23	final-viral-combined-for-dramv	1__1_partial_1-cat_1	23	16224	16874	-1	D			YP_001718744.1	YP_001718744.1 P2 gpM-like protein [Salmonella virus Fels2]	True	0.891	405.0	2.619e-128								Phage small terminase subunit [PF05944.15]			VOG21567	sp|P25476|VPM_BPP2 Terminase, endonuclease subunit; Xr	Xr	0	1	1	False	V
1__1_partial_1-cat_1_24	final-viral-combined-for-dramv	1__1_partial_1-cat_1	24	16878	17936	-1	D			YP_001718745.1	YP_001718745.1 P2 gpN-like major capsid protein [Salmonella virus Fels2]	True	0.863	626.0	3.246e-202								Phage major capsid protein, P2 family [PF05125.15]			VOG01441	sp|P25477|CAPSD_BPP2 Capsid proteins; XhXs	Xs;Xh	0	0	1	False	V
1__1_partial_1-cat_1_25	final-viral-combined-for-dramv	1__1_partial_1-cat_1	25	17953	18786	-1	D			YP_001718746.1	YP_001718746.1 P2 gpO-like protein [Salmonella virus Fels2]	True	0.808	461.0	1.177e-146	MER0276383	S73	MER0276383 - gpO peptidase (Enterobacteria phage P2) (Shigella dysenteriae) [S73.001]#S73#{peptidase unit: 5-277}~source EFW52429~	True	0.923	529.0	1.232e-169	Phage capsid scaffolding protein (GPO) serine peptidase [PF05929.14]			VOG10509	sp|P25478|SCAF_BPP2 Capsid assembly scaffolding protein; XhXs	Xs;Xh	0	2	1	False	VP
1__1_partial_1-cat_1_26	final-viral-combined-for-dramv	1__1_partial_1-cat_1	26	18929	20695	1	D			YP_001718747.1	YP_001718747.1 P2 gpP-like protein [Salmonella virus Fels2]	True	0.965	1195.0	0.0								Terminase large subunit, T4likevirus-type, N-terminal [PF03237.18]; Terminase RNaseH-like domain [PF17289.5]; Putative ATPase subunit of terminase (gpP-like) [PF06056.15]			VOG00173	sp|P25479|VPP_BPP2 Terminase, ATPase subunit; XhXr	Xh;Xr	0	0	1	False	V
1__1_partial_1-cat_1_27	final-viral-combined-for-dramv	1__1_partial_1-cat_1	27	20695	21744	1	D			YP_001718748.1	YP_001718748.1 P2 gpQ-like protein [Salmonella virus Fels2]	True	0.907	612.0	2.3799999999999998e-197								Phage portal protein [PF04860.15]			VOG00059	sp|Q6QGD5|PORTL_BPT5 Portal protein; XhXpXrXs	Xs;Xp;Xh;Xr	0	0	2	False	V
1__1_partial_1-cat_1_28	final-viral-combined-for-dramv	1__1_partial_1-cat_1	28	21797	22468	-1	E																						0	2	2	False	
1__1_partial_1-cat_1_29	final-viral-combined-for-dramv	1__1_partial_1-cat_1	29	22992	24884	-1	D																KAP family P-loop domain [PF07693.17]						0	2	2	False	
1__1_partial_1-cat_1_30	final-viral-combined-for-dramv	1__1_partial_1-cat_1	30	25206	25439	-1	C	K12149	DNA-damage-inducible protein I	YP_001718751.1	YP_001718751.1 TumB protein [Salmonella virus Fels2]	False	0.944	155.0	2.14e-44								DinI-like family [PF06183.16]			VOG01479	sp|P41063|TUM_BP186 SOS operon TUM protein; Xu	Xu	0	1	2	False	
1__1_partial_1-cat_1_31	final-viral-combined-for-dramv	1__1_partial_1-cat_1	31	25450	25638	-1	E			YP_001718752.1	YP_001718752.1 hypothetical protein STM2728.Fels2 [Salmonella virus Fels2]	False	0.942	125.0	2.853e-34											VOG27303	REFSEQ hypothetical protein; Xu	Xu	0	2	2	False	
1__1_partial_1-cat_1_32	final-viral-combined-for-dramv	1__1_partial_1-cat_1	32	25792	28206	-1	D			YP_001718753.1	YP_001718753.1 P2 gpA-like protein [Salmonella virus Fels2]	True	0.889	1469.0	0.0								Bacteriophage replication gene A protein (GPA) [PF05840.16]			VOG01587	sp|Q06419|VPA_BPP2 Replication gene A protein; XhXr	Xh;Xr	0	1	2	False	V
1__1_partial_1-cat_1_33	final-viral-combined-for-dramv	1__1_partial_1-cat_1	33	28203	29060	-1	C	K06223	DNA adenine methylase [EC:2.1.1.72]	YP_001718754.1	YP_001718754.1 DNA adenine methylase-like protein [Salmonella virus Fels2]	True	0.736	424.0	8.983e-134								D12 class N6 adenine-specific DNA methyltransferase [PF02086.18]			VOG00177	sp|P12427|DMA_BPT2 DNA adenine methylase; XhXpXr	Xp;Xh;Xr	0	1	2	False	V
1__1_partial_1-cat_1_34	final-viral-combined-for-dramv	1__1_partial_1-cat_1	34	29057	29284	-1	C	K06204	DnaK suppressor protein	YP_001718755.1	YP_001718755.1 P2 gpOrf82-like protein [Salmonella virus Fels2]	False	0.888	141.0	1.256e-39								Prokaryotic dksA/traR C4-type zinc finger [PF01258.20]						0	1	2	False	
1__1_partial_1-cat_1_35	final-viral-combined-for-dramv	1__1_partial_1-cat_1	35	29284	29517	-1	D			YP_001718756.1	YP_001718756.1 hypothetical protein STM2732.Fels2 [Salmonella virus Fels2]	False	0.732	117.0	4.689e-31								Protein of unknown function (DUF2732) [PF10809.11]			VOG18714	sp|Q06422|YO80_BPP2 Uncharacterized 8.3 kDa protein in GpA 5'region; Xu	Xu	0	1	2	False	
1__1_partial_1-cat_1_36	final-viral-combined-for-dramv	1__1_partial_1-cat_1	36	29585	29926	-1	D			YP_001718757.1	YP_001718757.1 hypothetical protein STM2733.Fels2 [Salmonella virus Fels2]	False	0.843	199.0	5.153e-59								Family of unknown function (DUF5347) [PF17282.5]			VOG18452	sp|P62534|YR7C_ECOLX Uncharacterized protein ORFC in retron EC67; Xu	Xu	0	2	2	False	
1__1_partial_1-cat_1_37	final-viral-combined-for-dramv	1__1_partial_1-cat_1	37	29949	30173	-1	E																						0	2	2	False	
1__1_partial_1-cat_1_38	final-viral-combined-for-dramv	1__1_partial_1-cat_1	38	30504	30962	1	E																						0	2	2	False	F
1__1_partial_1-cat_1_39	final-viral-combined-for-dramv	1__1_partial_1-cat_1	39	30910	31143	-1	D			YP_001718759.1	YP_001718759.1 hypothetical protein STM2735.Fels2 [Salmonella virus Fels2]	False	0.793	128.0	6.585e-35								Bacteriophage 186, Fil [PF10893.11]			VOG05963	sp|P15236|VFIL_BP186 Protein fil; Xh	Xh	0	1	2	False	F
1__1_partial_1-cat_1_40	final-viral-combined-for-dramv	1__1_partial_1-cat_1	40	31151	31660	-1	D			YP_001718760.1	YP_001718760.1 bacteriophage regulatory protein CII [Salmonella virus Fels2]	False	0.855	301.0	2.243e-93								Phage regulatory protein CII (CP76) [PF06892.14]			VOG00863	sp|P21316|YR7B_ECOLX Putative uncharacterized protein ORFB in retron EC67; Xu	Xu	0	1	2	False	F
1__1_partial_1-cat_1_41	final-viral-combined-for-dramv	1__1_partial_1-cat_1	41	31725	31928	-1	E																			VOG00654	sp|P07695|VCOX_BPP2 Regulatory protein cox; Xh	Xh	0	2	2	False	F
1__1_partial_1-cat_1_42	final-viral-combined-for-dramv	1__1_partial_1-cat_1	42	32074	32643	1	D			YP_001718762.1	YP_001718762.1 P2 CI-like protein [Salmonella virus Fels2]	False	0.421	149.0	3.7639999999999996e-40								Bacteriophage CI repressor C-terminal domain [PF16452.8]; Bacteriophage CI repressor helix-turn-helix domain [PF07022.16]			VOG02658	sp|P03034|RPC1_LAMBD Repressor protein cI; Xp	Xp	0	1	2	False	F
1__1_partial_1-cat_1_43	final-viral-combined-for-dramv	1__1_partial_1-cat_1	43	32659	32841	1	E																						0	2	2	False	F
1__1_partial_1-cat_1_44	final-viral-combined-for-dramv	1__1_partial_1-cat_1	44	32855	34186	1	D																KAP family P-loop domain [PF07693.17]						0	2	2	False	F
1__1_partial_1-cat_1_45	final-viral-combined-for-dramv	1__1_partial_1-cat_1	45	34266	35318	1	D			YP_001718763.1	YP_001718763.1 P2 Int-like protein [Salmonella virus Fels2]	True	0.565	366.0	3.447e-112								Phage integrase family [PF00589.25]			VOG00013	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	1	5	False	VF
1__2_partial_1-cat_1_1	final-viral-combined-for-dramv	1__2_partial_1-cat_1	1	1	300	1	E																						0	2	5	False	F
1__2_partial_1-cat_1_2	final-viral-combined-for-dramv	1__2_partial_1-cat_1	2	748	1287	-1	C	K14060	putative DNA-invertase from lambdoid prophage Rac	YP_007675887.1	YP_007675887.1 resolvase domain-containing protein [Vibrio phage PWH3a-P1]	False	0.491	121.0	9.008e-31								Resolvase, N terminal domain [PF00239.24]						0	1	4	False	F
1__2_partial_1-cat_1_3	final-viral-combined-for-dramv	1__2_partial_1-cat_1	3	3303	3491	1	E																						0	2	2	False	F
1__2_partial_1-cat_1_4	final-viral-combined-for-dramv	1__2_partial_1-cat_1	4	3511	3678	1	E			YP_009985768.1	YP_009985768.1 hypothetical protein JR322_gp095 [Escherichia phage muut]	False	0.935	110.0	2.477e-29														0	2	2	False	F
1__2_partial_1-cat_1_5	final-viral-combined-for-dramv	1__2_partial_1-cat_1	5	3730	4383	1	E			YP_009986978.1	YP_009986978.1 hypothetical protein JR327_gp053 [Escherichia phage Mt1B1_P17]	False	0.812	196.0	6.657000000000001e-56														0	2	2	False	F
1__2_partial_1-cat_1_6	final-viral-combined-for-dramv	1__2_partial_1-cat_1	6	4395	4673	1	E																						0	2	2	False	F
1__2_partial_1-cat_1_7	final-viral-combined-for-dramv	1__2_partial_1-cat_1	7	4806	5216	1	E																						0	2	2	False	F
1__2_partial_1-cat_1_8	final-viral-combined-for-dramv	1__2_partial_1-cat_1	8	5203	5556	1	E																						0	2	2	False	
1__2_partial_1-cat_1_9	final-viral-combined-for-dramv	1__2_partial_1-cat_1	9	5900	6112	1	E																						0	2	2	False	
1__2_partial_1-cat_1_10	final-viral-combined-for-dramv	1__2_partial_1-cat_1	10	6109	6471	1	E																						0	2	2	False	
1__2_partial_1-cat_1_11	final-viral-combined-for-dramv	1__2_partial_1-cat_1	11	6490	7518	1	D																Phage major capsid protein E [PF03864.18]			VOG00652	sp|D6RRG1|CAPSD_BPKPP Major capsid protein; XhXs	Xs;Xh	0	0	3	False	VF
1__2_partial_1-cat_1_12	final-viral-combined-for-dramv	1__2_partial_1-cat_1	12	7605	7802	1	E																						0	2	2	False	F
1__2_partial_1-cat_1_13	final-viral-combined-for-dramv	1__2_partial_1-cat_1	13	7822	9660	1	E			YP_009987340.1	YP_009987340.1 hypothetical protein JR328_gp226 [Escherichia phage VEcB]	False	0.224	144.0	3.2770000000000004e-34											VOG20406	REFSEQ hypothetical protein; Xu	Xu	0	2	2	False	F
1__2_partial_1-cat_1_14	final-viral-combined-for-dramv	1__2_partial_1-cat_1	14	9695	10408	1	E			YP_009987341.1	YP_009987341.1 hypothetical protein JR328_gp225 [Escherichia phage VEcB]	False	0.612	247.0	3.684e-73											VOG00353	REFSEQ hypothetical protein; Xu	Xu	0	1	2	False	F
1__2_partial_1-cat_1_15	final-viral-combined-for-dramv	1__2_partial_1-cat_1	15	10503	11723	-1	D																Phage integrase family [PF00589.25]			VOG00013	sp|P22877|INTR_SACER Integrase; XhXr	Xh;Xr	0	1	5	False	VF
