	sample_name	box_id	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	elevation	elevation_units	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	iacuc_institute	iacuc_protocol_id	isolate_number	latitude	latitude_units	life_stage	longitude	longitude_units	mouse_dob	mouse_id	mouse_strain	qiita_study_id	sample_type	scientific_name	sex	taxon_id	tube_id	zarrinparlab_quant_ng_ul	mouse	dam	sire	date_collected	bacteria_strain	extraction_method	extraction_kit	run	plate	observed_features	bin_name	outliers
23R_Day7_16	12986.23R.Day7.16	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	16	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-16_Day7	61.6	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Day7_17	12986.23R.Day7.17	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	17	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-17_Day7	58.8	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		16	AZ20_main	no
23R_Day7_18	12986.23R.Day7.18	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	18	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-18_Day7	71.3	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Day7_19	12986.23R.Day7.19	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	19	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-19_Day7	60.5	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23R_Day7_2	12986.23R.Day7.2	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	2	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-2_Day7	96.9	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23R_Day7_20	12986.23R.Day7.20	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	20	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-20_Day7	85.2	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23R_Day7_21	12986.23R.Day7.21	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	21	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-21_Day7	72.8	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23R_Day7_22	12986.23R.Day7.22	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	22	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-22_Day7	25.7	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		31	middle	no
23R_Day7_23	12986.23R.Day7.23	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	23	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-23_Day7	72.1	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23R_Day7_24	12986.23R.Day7.24	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	24	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-24_Day7	36.8	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		13	AZ20_main	no
23R_Day7_3	12986.23R.Day7.3	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	3	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-3_Day7	97.5	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23R_Day7_4	12986.23R.Day7.4	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	4	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-4_Day7	96.9	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23R_Day7_5	12986.23R.Day7.5	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	5	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-5_Day7	67.6	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Day7_6	12986.23R.Day7.6	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	6	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-6_Day7	40.5	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23R_Day7_7	12986.23R.Day7.7	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	7	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-7_Day7	23.7	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Day7_8	12986.23R.Day7.8	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	8	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-8_Day7	80.0	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23R_Day7_9	12986.23R.Day7.9	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	9	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-9_Day7	82.1	23R	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		20	AZ20_main	no
23R_Month3_1	12986.23R.Month3.1	2.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	1	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-1_Month3	93.7	23R	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23R_Month3_2	12986.23R.Month3.2	2.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	2	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-2_Month3	84.3	23R	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month3_3	12986.23R.Month3.3	2.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	3	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-3_Month3	68.6	23R	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23R_Month3_4	12986.23R.Month3.4	2.0	23.0	Month3	10/17/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	21	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	4	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-4_Month3	60.6	23R	A1	A	10/17/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month6_1	12986.23R.Month6.1	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	1	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-1_Month6	49.3	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23R_Month6_10	12986.23R.Month6.10	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	10	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-10_Month6	39.9	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month6_11	12986.23R.Month6.11	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	11	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-11_Month6	43.3	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23R_Month6_12	12986.23R.Month6.12	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	12	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-12_Month6	25.7	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month6_14	12986.23R.Month6.14	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	14	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-14_Month6	39.3	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month6_15	12986.23R.Month6.15	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	15	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-15_Month6	52.2	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month6_16	12986.23R.Month6.16	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	16	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-16_Month6	48.7	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month6_17	12986.23R.Month6.17	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	17	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-17_Month6	52.2	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month6_2	12986.23R.Month6.2	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	2	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-2_Month6	44.0	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		23	middle	no
23R_Month6_3	12986.23R.Month6.3	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	3	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-3_Month6	44.0	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		20	AZ20_main	no
23R_Month6_4	12986.23R.Month6.4	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	4	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-4_Month6	63.7	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month6_5	12986.23R.Month6.5	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	5	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-5_Month6	23.1	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month6_6	12986.23R.Month6.6	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	6	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-6_Month6	28.3	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23R_Month6_7	12986.23R.Month6.7	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	7	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-7_Month6	42.4	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23R_Month6_8	12986.23R.Month6.8	6.0	23.0	Month6	1/16/18 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	33	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23R	10090.0	not provided	g	UCSD	S16285	8	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23R	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23R-8_Month6	38.3	23R	A1	A	1/16/18	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
24B_Day7_10	12986.24B.Day7.10	10.0	24.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	24B	10090.0	not provided	g	UCSD	S16285	10	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	24B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	female	410661.0	24B-10_Day7	38.1	24B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
24B_Day7_11	12986.24B.Day7.11	10.0	24.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	24B	10090.0	not provided	g	UCSD	S16285	11	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	24B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	female	410661.0	24B-11_Day7	38.6	24B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		10	low	no
24B_Day7_12	12986.24B.Day7.12	10.0	24.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	24B	10090.0	not provided	g	UCSD	S16285	12	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	24B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	female	410661.0	24B-12_Day7	23.4	24B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
24B_Day7_13	12986.24B.Day7.13	14.0	24.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	24B	10090.0	not provided	g	UCSD	S16285	13	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	24B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	female	410661.0	24B-13_Day7	34.5	24B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		30	middle	no
24B_Day7_14	12986.24B.Day7.14	14.0	24.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	24B	10090.0	not provided	g	UCSD	S16285	14	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	24B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	female	410661.0	24B-14_Day7	29.8	24B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		61	AZ51_main	no
24B_Day7_16	12986.24B.Day7.16	14.0	24.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	24B	10090.0	not provided	g	UCSD	S16285	16	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	24B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	female	410661.0	24B-16_Day7	27.2	24B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
24B_Day7_17	12986.24B.Day7.17	14.0	24.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	24B	10090.0	not provided	g	UCSD	S16285	17	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	24B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	female	410661.0	24B-17_Day7	39.7	24B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		30	middle	no
